"negative","1759470297446879_1759507210776521"
"negative","2043283852658666_374929249678872"
"negative","2063747743839031_2063753847171754"
"negative","2063747743839031_2063753543838451"
"negative","2063747743839031_2063750550505417"
"negative","2063747743839031_2063752973838508"
"negative","2063747743839031_2063757667171372"
"negative","2063560920524380_2063613240519148"
"negative","2063560920524380_2063564317190707"
"negative","2063560920524380_2063564667190672"
"negative","2063560920524380_2063570697190069"
"negative","2063560920524380_2063589993854806"
"negative","2063560920524380_2063592203854585"
"negative","2063560920524380_2063649660515506"
"negative","2063546413859164_2063553027191836"
"negative","2063546413859164_2063547750525697"
"negative","2063546413859164_2063549447192194"
"negative","2063546413859164_2063548570525615"
"negative","2063546413859164_638371483171699"
"negative","2063546413859164_2063576560522816"
"positive","2063480197199119_2063486317198507"
"positive","2063480197199119_2063486363865169"
"positive","2063480197199119_2063483343865471"
"positive","2063480197199119_2063486000531872"
"positive","2063480197199119_2063482190532253"
"positive","2063480197199119_2063484033865402"
"positive","2063480197199119_2063501190530353"
"positive","2063480197199119_235163093705950"
"positive","2063480197199119_2063492890531183"
"positive","2063480197199119_2063512207195918"
"positive","2063480197199119_1944755812266286"
"positive","2063480197199119_2063505733863232"
"positive","2063050183908787_2063057237241415"
"positive","2063050183908787_2063175213896284"
"positive","2063050183908787_2063052287241910"
"negative","2062461267301012_2062503777296761"
"negative","2062461267301012_2062499710630501"
"positive","2063886940491778_2063890933824712"
"negative","2063896867157452_2063907507156388"
"negative","2063849747162164_2063861160494356"
"negative","2063849747162164_2063894847157654"
"negative","1942317115813656_1855531854499814"
"negative","1942317115813656_1855552214497778"
"negative","1942317115813656_592508131123736"
"negative","1942317115813656_618695491798876"
"negative","1942317115813656_642922999383274"
"negative","1942317115813656_793079057561137"
"negative","1942317115813656_642925079383066"
"negative","1942317115813656_203322173798180"
"negative","1942317115813656_245210866055205"
"negative","1942317115813656_448136678946092"
"negative","1942317115813656_168053707204813"
"negative","1942317115813656_571695376550494"
"negative","1942317115813656_1526637917463729"
"negative","1942317115813656_448139552279138"
"negative","1942317115813656_592510474456835"
"negative","1942317115813656_103451777187424"
"negative","1942317115813656_589271388112681"
"negative","1942317115813656_939671289528173"
"negative","1942317115813656_1985105418485286"
"negative","1942317115813656_211327966319193"
"negative","1942754059103295_1942779782434056"
"negative","1942754059103295_1942788622433172"
"negative","1942754059103295_1407751945992428"
"negative","1942754059103295_1942780535767314"
"negative","1942754059103295_1942778195767548"
"negative","1942754059103295_262129177663644"
"positive","1760187904041785_1760289174031658"
"positive","1760187904041785_1760265857367323"
"negative","1760187904041785_1760265324034043"
"negative","1760187904041785_1760251064035469"
"positive","1760187904041785_1760297060697536"
"negative","1760187904041785_1760296197364289"
"positive","1760187904041785_1760372607356648"
"positive","1760187904041785_1760262907367618"
"positive","1760187904041785_1760330200694222"
"negative","1760106337383275_1760173944043181"
"negative","1760106337383275_1760307084029867"
"negative","1760106337383275_1760321814028394"
"negative","1760106337383275_1760312517362657"
"positive","2042005332786518_376828689389686"
"positive","2042005332786518_199454127448471"
"positive","2042005332786518_1031014840387825"
"positive","2042005332786518_208483613093079"
"positive","2042005332786518_249003009174089"
"positive","2042005332786518_908320566016941"
"positive","2042005332786518_513221499075752"
"positive","2042005332786518_218497285404117"
"positive","2042005332786518_249001692507554"
"positive","1946354908743210_2023196984598975"
"positive","1946354908743210_2023205101264830"
"negative","1946354908743210_1946362398742461"
"positive","1946354908743210_1946368072075227"
"positive","1946354908743210_1918125754936721"
"positive","1946354908743210_1946364592075575"
"positive","1946354908743210_1946366022075432"
"positive","1946354908743210_1946363745408993"
"positive","1946354908743210_1918129431603020"
"positive","1946354908743210_1918127791603184"
"positive","1946354908743210_2023198904598783"
"positive","1946354908743210_2023198584598815"
"positive","1946354908743210_1918129938269636"
"positive","1946354908743210_1946365635408804"
"positive","1946354908743210_1946365202075514"
"positive","1946354908743210_1946366748742026"
"positive","1946354908743210_215691752357160"
"positive","1946354908743210_215695445690124"
"negative","1946354908743210_272906879917352"
"positive","1946354908743210_1918135548269075"
"positive","1946354908743210_2030741370512856"
"positive","1946354908743210_1857735074258164"
"positive","1946354908743210_2107403466207918"
"positive","1946354908743210_215689805690688"
"positive","1946354908743210_596607237368435"
"positive","1946354908743210_596605420701950"
"positive","1946354908743210_215691152357220"
"positive","1946354908743210_215371375905591"
"positive","1946354908743210_2023204274598246"
"positive","1946354908743210_442201432910160"
"positive","1946354908743210_221735111749124"
"negative","1946354908743210_543752949353820"
"positive","1946354908743210_1918154551600508"
"positive","1946354908743210_2066821556867574"
"positive","1946354908743210_217000252227858"
"positive","1946354908743210_1018280585015179"
"positive","1946354908743210_596608184035007"
"positive","1946354908743210_468829100202316"
